Model,Epoch,Train_Accuracy,Train_F1,Train_Recall,Train_Precision,Val_Accuracy,Val_F1,Val_Recall,Val_Precision
ResNet18,1,0.0007473841554559044,0.00026769053411100364,0.0007473841554559044,0.00020499698811345357,0.00796812749003984,0.0018947533450090137,0.00796812749003984,0.002305817859155175
ResNet18,2,0.01669157947184853,0.008717630167245933,0.01669157947184853,0.006838565824782183,0.0348605577689243,0.010466303510845465,0.0348605577689243,0.00712767309614594
ResNet18,3,0.04210264075734928,0.030108643207084115,0.04210264075734928,0.031147049259708428,0.05776892430278884,0.02520972184510642,0.05776892430278884,0.021969868359255774
ResNet18,4,0.07199800697558545,0.05719663802811611,0.07199800697558545,0.056220675465312085,0.07569721115537849,0.043517735815957116,0.07569721115537849,0.04012778280142126
ResNet18,5,0.1081215744892875,0.09160217924890603,0.1081215744892875,0.09424305672378883,0.1205179282868526,0.07553180686778371,0.1205179282868526,0.07105379158296082
ResNet18,6,0.1375186846038864,0.12095516395701003,0.1375186846038864,0.12810140725976257,0.1454183266932271,0.09034477015258506,0.1454183266932271,0.07629990318022299
ResNet18,7,0.2057797708021923,0.18534554241254295,0.2057797708021923,0.19061168273777085,0.18426294820717132,0.13420019002688324,0.18426294820717132,0.12903455305797157
ResNet18,8,0.2568510214250125,0.23890040221695236,0.2568510214250125,0.25392039886078754,0.199203187250996,0.14765641618231257,0.199203187250996,0.13859667344678908
ResNet18,9,0.30842052815146986,0.2914830648801024,0.30842052815146986,0.307792325027397,0.21613545816733068,0.16414849340221352,0.21613545816733068,0.1563448861061044
ResNet18,10,0.37194818136522173,0.35663075097105146,0.37194818136522173,0.3725565111556055,0.22211155378486055,0.166988863283684,0.22211155378486055,0.15694415230726508
ResNet18,11,0.41778774289985054,0.40461495306678685,0.41778774289985054,0.42685762820731604,0.2798804780876494,0.2256856633848666,0.2798804780876494,0.21709188885483707
ResNet18,12,0.5089686098654709,0.4950539891859823,0.5089686098654709,0.5160969251853363,0.2918326693227092,0.2427147617049773,0.2918326693227092,0.2384741517336139
ResNet18,13,0.5605381165919282,0.5516406581612957,0.5605381165919282,0.5755232200673157,0.3137450199203187,0.2652486015533824,0.3137450199203187,0.2634035038666513
ResNet18,14,0.6180866965620329,0.6116391986882808,0.6180866965620329,0.6330601151602646,0.34163346613545814,0.28536977630603133,0.34163346613545814,0.2798692393985136
ResNet18,15,0.6756352765321375,0.6708190380308556,0.6756352765321375,0.6962637173212659,0.3426294820717131,0.2955621956617972,0.3426294820717131,0.294682381584772
ResNet18,16,0.749626307922272,0.7457568915187838,0.749626307922272,0.7657202766507699,0.4262948207171315,0.36641529121608807,0.4262948207171315,0.3600443215483056
ResNet18,17,0.7855007473841554,0.7826781948605566,0.7855007473841554,0.8011451981556615,0.3884462151394422,0.33463513670186973,0.3884462151394422,0.33421717890343394
ResNet18,18,0.8136522172396612,0.8104646452641704,0.8136522172396612,0.8239338631528467,0.3854581673306773,0.3402711304852739,0.3854581673306773,0.3452902675014229
ResNet18,19,0.8480318883906328,0.846283733428726,0.8480318883906328,0.8623377701853039,0.3715139442231076,0.3240983157317819,0.3715139442231076,0.32500956491494337
ResNet18,20,0.874439461883408,0.8727028701243947,0.874439461883408,0.8826586115263245,0.4342629482071713,0.3855420310101585,0.4342629482071713,0.38356336558527787
ResNet18,21,0.8928749377179871,0.89163740953726,0.8928749377179871,0.9002436907332273,0.4292828685258964,0.38453890067435886,0.4292828685258964,0.3859893758300133
ResNet18,22,0.9073243647234679,0.9067403351783023,0.9073243647234679,0.9152172752509076,0.449203187250996,0.4013651742237399,0.449203187250996,0.40050986530070193
ResNet18,23,0.9098156452416543,0.909033263143876,0.9098156452416543,0.9166565829121883,0.4292828685258964,0.3773951811800417,0.4292828685258964,0.3736577499525707
ResNet18,24,0.9230194319880418,0.9225078940325577,0.9230194319880418,0.928687984909958,0.4362549800796813,0.3883808920163502,0.4362549800796813,0.38802923227724023
ResNet18,25,0.9312406576980568,0.9306733113534309,0.9312406576980568,0.9374252615844545,0.45219123505976094,0.40019158574935465,0.45219123505976094,0.39608391829507367
DenseNet121,1,0.0017438963627304435,0.0002288743197965242,0.0017438963627304435,0.00012564615455631762,0.01195219123505976,0.0021461261119362363,0.01195219123505976,0.0012645365161141607
DenseNet121,2,0.01868460388639761,0.011684203528376036,0.01868460388639761,0.010139408078398394,0.02888446215139442,0.008253171411972378,0.02888446215139442,0.006324224808199028
DenseNet121,3,0.053064275037369206,0.04085395603740851,0.053064275037369206,0.042415387552986634,0.08167330677290836,0.04121198465409643,0.08167330677290836,0.035528837102303534
DenseNet121,4,0.11086198305929247,0.092261245469033,0.11086198305929247,0.09218639374930294,0.11055776892430279,0.06742263940593461,0.11055776892430279,0.06044654940180029
DenseNet121,5,0.15371200797209766,0.13607375396972315,0.15371200797209766,0.14442744369009022,0.1603585657370518,0.10979392729890737,0.1603585657370518,0.10130274771709034
DenseNet121,6,0.21723966118584953,0.1979144653816595,0.21723966118584953,0.2097970717323108,0.1942231075697211,0.1410119429043732,0.1942231075697211,0.13160045390718783
DenseNet121,7,0.28475336322869954,0.2691413263366602,0.28475336322869954,0.2831356631638081,0.22310756972111553,0.16683820345888564,0.22310756972111553,0.15875257608587445
DenseNet121,8,0.3510214250124564,0.3327811259701099,0.3510214250124564,0.34342782085258644,0.24701195219123506,0.19931933188026457,0.24701195219123506,0.1942355577689243
DenseNet121,9,0.42675635276532137,0.4129854075361177,0.42675635276532137,0.43693754074695396,0.2968127490039841,0.24921564933517126,0.2968127490039841,0.24708902160126672
DenseNet121,10,0.5032386646736422,0.488678742982218,0.5032386646736422,0.5092721057148868,0.33565737051792827,0.28063432967053775,0.33565737051792827,0.27804140580535003
DenseNet121,11,0.5849526656701545,0.5770182249568446,0.5849526656701545,0.6061424430632203,0.33565737051792827,0.2810964655088161,0.33565737051792827,0.2782821455879225
DenseNet121,12,0.64050822122571,0.633333697380123,0.64050822122571,0.6612088390488989,0.37250996015936255,0.32205482458587686,0.37250996015936255,0.3193086171796331
DenseNet121,13,0.690333831589437,0.684990874994959,0.690333831589437,0.7086111253525303,0.37749003984063745,0.3274833214128664,0.37749003984063745,0.3297810735471855
DenseNet121,14,0.7513702042850025,0.7477278161947994,0.7513702042850025,0.7665158417400569,0.43227091633466136,0.37773800181668704,0.43227091633466136,0.37210127742996274
DenseNet121,15,0.7949676133532636,0.7921564677917443,0.7949676133532636,0.8112145190246834,0.4213147410358566,0.37003259025171376,0.4213147410358566,0.3681231782825408
